square_feet,num_rooms,age,distance_to_city(km),price
2248.357077,3,92,22.99797168,200374.0904
1930.867849,2,22,13.9842538,268784.8473
2323.844269,6,33,21.50094492,315020.8577
2761.514928,3,63,10.3436383,355111.4685
1882.923313,7,54,25.4852,234197.1239
1882.931522,2,70,16.51001427,171397.0017
2789.606408,6,8,28.36462683,438704.163
2383.717365,5,3,3.285624535,438745.7043
1765.262807,7,65,15.91402791,243125.0684
2271.280022,3,90,23.22720213,171466.0481
1768.291154,5,32,18.40442679,266274.4392
1767.135123,4,31,1.672630072,288522.028
2120.981136,7,43,29.19782167,282429.8012
1043.359878,7,36,9.649647099,198661.9196
1137.541084,6,90,8.229058125,134152.0172
1718.856235,6,91,15.08413639,223511.7454
1493.58444,3,66,16.72258512,121809.843
2157.123666,7,59,23.22235599,296965.2828
1545.987962,6,58,12.40493607,241859.1728
1293.848149,4,35,13.75885092,181208.2727
2732.824384,6,48,16.51383756,393991.4962
1887.11185,7,50,12.43722589,324604.3191
2033.764102,2,7,27.52189429,182004.2173
1287.625907,5,49,25.68630703,66630.54585
1727.808638,7,40,14.19423716,302337.9533
2055.461295,4,37,1.005651008,349602.7493
1424.503211,7,85,27.12710037,120838.415
2187.849009,4,77,4.60576063,278725.493
1699.680655,7,78,8.090860041,235766.2321
1854.153125,5,54,5.418477247,298065.4495
1699.146694,5,67,6.214651529,289774.4658
2926.139092,4,17,24.2834486,377732.4725
1993.251388,7,64,17.80554181,278733.2914
1471.144536,5,63,28.72675973,113550.5248
2411.272456,3,11,7.712151857,415714.2114
1389.578175,7,40,15.08341234,248057.7491
2104.431798,5,41,29.3454227,209266.1511
1020.164938,2,59,24.96686191,9752.509217
1335.906976,2,49,22.12985469,87385.51108
2098.430618,3,80,6.48028084,241236.4112
2369.23329,5,82,23.31275663,272003.9428
2085.684141,2,35,11.07938856,246099.5024
1942.175859,7,47,16.38557001,272179.6134
1849.448152,6,70,18.66567518,235611.518
1260.739005,5,72,18.67154763,122109.9954
1640.077896,3,7,22.06918069,188645.3429
1769.680615,5,24,20.18936069,225212.3964
2528.561113,4,6,2.9827555,425868.1371
